Project Name,Cluster Name,Project Type,City,County,State,Digester Type,Status,Year Operational,Animal/Farm Type(s), Cattle , Dairy , Poultry , Swine ,Co-Digestion, Biogas Generation Estimate (cu-ft/day) , Electricity Generated (kWh/yr) ,Biogas End Use(s),LCFS Pathway,System Designer(s)/Developer(s) and Affiliates,Receiving Utility, Total Emission Reductions (MTCO2e/yr) ,Awarded USDA Funding?
Cargill - Sandy River Farm Digester,,Farm Scale,Morrilton,Conway,AR,Covered Lagoon,Operational,2008,Swine,,,," 4,200 ",," 1,814,400 ",,Flared Full-time,,"Martin Construction Resource LLC (formerly RCM) [System Designer, System Design Engineer]; Red Barn Consulting [Project Developer, System Designer]",," 4,307 ",
Align RNG - Snowflake Digester,,Farm Scale,Snowflake,Navajo,AZ,Covered Lagoon,Operational,2023,Swine,,,," 154,000 ",," 493,151 ",,Pipeline Gas,,Align RNG [Project Developer]; Roeslein Alternative Energy [Project Developer],," 177,404 ",
Butterfield RNG Digester,,Farm Scale,Buckeye,Maricopa,AZ,Mixed Plug Flow,Operational,2023,Dairy,," 25,000 ",,,,,,Pipeline Gas,,"Avolta [Project Developer]; DVO, Inc. (formerly GHD, Inc.) [System Designer, System Design Engineer]",Southwest Gas," 276,083 ",Y
Caballero Dairy Farms Digester,,Farm Scale,Eloy,Pinal,AZ,Unknown or Unspecified,Operational,2024,Dairy,," 8,800 ",,,,,,Pipeline Gas,,Brightmark [Project Developer],," 97,181 ",
Green Gas Partners Stanfield Digester,,Centralized/Regional,Maricopa,Pinal,AZ,Complete Mix,Operational,2018,Dairy,," 30,000 ",,,," 3,454,500 ",,Pipeline Gas,,Equilibrium Capital [Project Developer]; Green Gas Partners [Project Developer],Kinger Morgan El Paso," 331,299 ",
Milky Way Dairy (AZ) Digester,,Farm Scale,Maricopa,Pinal,AZ,Mixed Plug Flow,Operational,2023,Dairy,," 35,000 ",,,,,,Pipeline Gas,,Avolta [Project Developer],Southwest Gas," 386,516 ",Y
Paloma Dairy Digester,,Farm Scale,Gila Bend,Maricopa,AZ,Complete Mix,Operational,2021,Dairy,," 10,000 ",,,,,,CNG,,"Black Bear Environmental Assets [Project Developer]; Fortistar, LLC [Project Developer]; Industrial Services Co. [Construction & Installation]; Montrose Environmental [System Designer, System Design Engineer]; OPAL Fuels LLC [Project Developer]",Southwest Gas Company," 98,691 ",
Stotz Southern Dairy Digester,,Farm Scale,Buckeye,Maricopa,AZ,Covered Lagoon,Operational,2011,Dairy,," 15,000 ",,,,," 5,256,000 ",Electricity,Yes,"Chapel Street Environmental [System Design Engineer]; Environmental Fabrics, Inc. [Biogas Membrane Supplier]; Gabe Millican, P.E. [System Designer]",Arizona Public Service," 152,171 ",
Tonopah Dairy Digester,,Farm Scale,Tonopah,Maricopa,AZ,Mixed Plug Flow,Construction,,Dairy,," 4,954 ",,,,,,Pipeline Gas,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]; Regenis [Project Developer]",," 54,709 ",
Triple G Dairy Digester,,Farm Scale,Buckeye,Maricopa,AZ,Covered Lagoon,Operational,2011,Dairy,," 4,000 ",,,,," 4,467,600 ",Cogeneration,Yes,"Chapel Street Environmental [System Design Engineer]; Environmental Fabrics, Inc. [Biogas Membrane Supplier]",Arizona Public Service Co.," 42,766 ",
