Project Name,Project Type,Cluster Name,City,County,State,Digester Type,Status,Year Operational,Year Shutdown,Reason for Closure,Animal/Farm Type(s),Cattle,Dairy,Poultry,Swine,Co-Digestion,Biogas Generation Estimate (cu-ft/day),Electricity Generated (kWh/yr),Biogas End Use(s),LCFS Pathway,System Designer(s)/Developer(s) and Affiliates,Receiving Utility,Awarded USDA Funding?
Antonio Brasil Dairy Digester,Farm Scale,,Dos Palos,Merced,CA,Complete Mix,Shut down,2013,2016,,Dairy,0,"5,420",0,0,,,,,,"Elite Energy [Project Developer, System Designer, System Design Engineer]",,
Bullfrog Dairy Digester,Farm Scale,,Imperial,Imperial,CA,Covered Lagoon,Shut down,2008,2014,Shut dairy,Dairy,0,"3,300",0,0,,,"2,233,800",Electricity,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",IDD Energy,
Cal Poly Dairy Digester,Farm Scale,,San Luis Obispo,San Luis Obispo,CA,Covered Lagoon,Shut down,1998,2004,No operator,Dairy,0,175,0,0,,,"236,520",Electricity,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",,
CAL-Denier Dairy Digester,Farm Scale,,Galt,Sacramento,CA,Covered Lagoon,Shut down,2008,2011,"According to Dec 2017 CDFA presentation (by Casey Walsh Cady), Denier Dairy project listed as ""temporarily offline.""
According to Martin Const (Aug 2019) shut down digester is operable but poor payback keeps it offline.",Dairy,0,900,0,0,,"33,000","552,802",Electricity,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",,Y
Eden-Vale Dairy Digester,Farm Scale,,Lemoore,Kings,CA,Horizontal Plug Flow,Shut down,2006,2007,"Economic. Operable, but poor buyback.",Dairy,0,"1,100",0,0,,"42,740","500,991",Cogeneration,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",Pacific Gas and Electric Company,
IEUA - Reg Plant 5 Digester,Centralized/Regional,,Chino,San Bernardino,CA,Horizontal Plug Flow,Shut down,2001,2009,,Dairy,0,"3,225",0,0,Food Wastes,"108,077","4,931,880",Electricity,,Inland Empire Utilities Agency (IEUA) [Project Developer],,
Inland Empire Utilities Agency - Reg Plant 1 Digester,Centralized/Regional,,Ontario,San Bernardino,CA,Complete Mix,Shut down,2003,2008,,Dairy,0,0,0,0,,,"7,446,000",Electricity,,"Inland Empire Utilities Agency (IEUA) [Project Developer, System Designer]",,
Koetsier Dairy Digester,Farm Scale,,Tulare,Tulare,CA,Horizontal Plug Flow,Shut down,2005,2009,"Air-quality standards calling for expensive retrofits to reduce air pollution led to shutdown. 
Dairy closed.",Dairy,0,"2,000",0,0,,"44,193","615,755",Electricity,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",,
Langerwerf Dairy Digester,Farm Scale,,Durham,Butte,CA,Horizontal Plug Flow,Shut down,1982,2009,Farm sold.,Dairy,0,750,0,0,,"30,000","300,000",Cogeneration,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",Pacific Gas and Electric Company,
Lourenco Dairy Digester,Farm Scale,,Tulare,Tulare,CA,Covered Lagoon,Shut down,2006,2009,,Dairy,0,"2,640",0,0,,"55,000",,Flared Full-time,,"Sharp Energy [System Designer, System Design Engineer]",,
